idDevExt,nomeEmpresa,contato,cnpj
1,Aero Studios,contato@aero.com,11.222.333/0001-44
2,PixelCraft Games,parceria@pixelcraft.com,22.333.444/0001-55
3,Digital Horizon,devs@digital.com,33.444.555/0001-66
4,Starlight Interactive,info@starlight.com,44.555.666/0001-77
5,Code Masters BR,falecom@codemaster.com,55.666.777/0001-88
6,Studio Alpha,alpha@studio.com,66.777.888/0001-99
7,Game Builders LTDA,contato@gamebuilders.com,77.888.999/0001-00
8,Forge Engine Users,support@forge.com,88.999.000/0001-11
9,Mobile Fun Dev,mobilefun@dev.com,99.000.111/0001-22
10,Console Porting Experts,ports@expert.com,00.111.222/0001-33
11,Indie Dreamers,dreamers@indie.com,10.200.300/0001-40
12,VR Future,vr@future.com,20.300.400/0001-50
13,Simulador Pro,simpro@sim.com,30.400.500/0001-60
14,RTS Specialists,rts@specialists.com,40.500.600/0001-70
15,2D Retro Revival,retro@revival.com,50.600.700/0001-80
16,Soundscapes Dev,sound@scape.com,60.700.800/0001-90
17,Narrative Games,narrative@games.com,70.800.900/0001-01
18,Educational Game Dev,edu@dev.com,80.900.000/0001-12
19,AR/VR Pioneers,arvr@pioneers.com,90.000.100/0001-23
20,Global Publishers,publishers@global.com,01.100.200/0001-34
